username	first_date	total_chars	total_words	color
Halie M. Rando	2020-03-20	1404558	178567	#A6CEE3
Casey S. Greene	2020-03-22	300891	41177	#82B7D6
Michael Robson	2020-03-23	969	38	#5FA0CA
Ronnie M. Russell	2020-03-23	504	58	#3B8ABE
Christian Brueffer	2020-03-24	9497	1219	#257CB2
Nils Wellhausen	2020-03-24	32615	4055	#4C97A7
Ronan Lordan	2020-03-25	206547	24130	#72B29C
Sandipan Ray	2020-03-25	6248	681	#99CD91
Anna Ada Dattoli	2020-03-26	38875	5246	#A5D981
Anthony Gitter	2020-03-26	55874	6354	#84C868
Lucy D'Agostino McGowan	2020-03-26	8618	1106	#63B84F
Jeff Field	2020-03-28	5178	711	#42A737
Adam L MacLean	2020-03-30	12922	1638	#4F9F3B
Adam L. MacLean	2020-04-01	1462	177	#839D58
Alexandra Lee	2020-04-01	41368	5133	#B89B74
Fengling Hu	2020-04-05	10666	1416	#EC9A91
Diane Rafi	2020-04-07	9934	1176	#F68181
John J. Dziak	2020-04-07	28567	3165	#F06060
Elizabeth Sell	2020-04-09	11383	1405	#E93E3F
Jinhui	2020-04-10	2080	249	#E31D1E
Marouen	2020-04-12	14653	1860	#E9412F
Ashwin Skelly	2020-04-14	4390	493	#F06C45
David Mai	2020-04-15	3889	489	#F6975B
Likhitha Kolla	2020-04-15	10656	1186	#FDBD6C
Yoson Park	2020-04-15	4149	499	#FDAC4F
Daniel Himmelstein	2020-04-18	487	16	#FE9B32
J. Brian Byrd	2020-04-18	10061	1129	#FE8B15
soumitagh	2020-04-25	23356	3177	#FB820F
David Manheim	2020-04-26	10088	1319	#ED8F47
Yael E. Marshall	2020-05-09	32989	4157	#DF9D7F
Ryan Velazquez	2020-05-13	485061	67664	#D1AAB7
Simina M. Boca	2020-05-13	106915	13854	#BEA4CE
Bansalvi	2020-05-22	18595	2173	#A585BF
Vincent Rubinetti	2020-06-05	80	7	#8C66AF
Lamonica Shinholster	2020-07-22	4241	554	#73489F
Sergey Knyazev	2020-08-01	8992	1005	#825D99
Dimitri Perrin	2020-08-10	4817	664	#A99099
Temitayo Lukan	2020-08-14	3591	503	#D0C299
rlordan	2020-08-26	186	26	#F7F599
Greg Szeto	2020-09-04	340	46	#EEDB80
Tiago Lubiana	2020-11-16	448	55	#D9AF63
Naika	2021-04-01	3864	420	#C58445
Yushua Sun	2021-04-10	3561	351	#B15928
