Company,Developer_ISO
Anhui Zhifei Longcom,CHN
Bagheiat-allah University of Medical Sciences,IRN
Bharat Biotech,IND
Biological E Limited,IND
CanSino,CHN
Center for Genetic Engineering and Biotechnology (CIGB),CUB
Chumakov Center,RUS
Gamaleya,RUS
Gennova Biopharmaceuticals Limited,IND
Health Institutes of Turkey,TUR
Instituto Finlay de Vacunas Cuba,CUB
Janssen (Johnson & Johnson),NLD
Livzon Mabpharm Inc,CHN
Medicago,CAN
Medigen,TWN
Moderna,USA
National Vaccine and Serum Institute,CHN
Novavax,USA
Organization of Defensive Innovation and Research,IRN
Oxford/AstraZeneca,GBR
Pfizer/BioNTech,DEU
Razi Vaccine and Serum Research Institute,IRN
Research Institute for Biological Safety Problems (RIBSP),KAZ
Serum Institute of India,IND
Shenzhen Kangtai Biological Products Co,CHN
Shifa Pharmed Industrial Co,IRN
Sinopharm (Beijing),CHN
Sinopharm (Wuhan),CHN
Sinovac,CHN
SK Bioscience Co Ltd,KOR
Takeda,JAP
Valneva,FRA
Vaxine/CinnaGen Co.,AUS
Vector State Research Center of Virology and Biotechnology,RUS
Zydus Cadila,IND
